	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
0610009B22Rik	177.29	214.60	228.76	372.79	1409.57	1462.10	1065.13	1011.29
0610009O20Rik	64.14	371.46	1.95	2.94	88.97	53.99	211.99	92.98
0610010K14Rik	137.93	1170.51	962.09	480.23	604.80	903.42	599.60	424.89
0610012G03Rik	0.95	102.16	2.95	10.64	320.68	119.83	128.05	152.98
0610030E20Rik	6.93	66.82	105.34	157.49	286.68	231.97	235.89	102.28
0610037L13Rik	368.65	27.32	1066.65	1006.03	410.85	994.87	578.96	458.92
0610040B10Rik	6.14	1.09	1.36	62.35	18.66	19.12	5.31	9.93
1110003F10Rik	6.22	6.24	35.92	5.89	141.92	76.68	66.62	43.02
1110004E09Rik	140.86	52.69	509.46	320.99	4746.27	3977.47	2487.83	1882.69
1110004F10Rik	1779.42	648.81	931.25	2657.94	381.30	304.40	350.74	394.26
1110008F13Rik	14.90	134.23	245.61	189.76	1149.12	1208.45	1136.35	857.74
1110008L16Rik	263.51	226.43	782.27	317.12	415.85	1170.11	486.97	686.58
1110008P14Rik	201.23	192.30	57.54	374.17	33.18	32.74	38.42	30.53
1110012L19Rik	93.03	1.38	221.14	247.59	2834.39	4367.12	3416.10	2413.60
1110032A03Rik	12.28	0.86	33.29	118.59	33.04	218.97	91.55	59.05
1110034G24Rik	423.53	78.06	263.98	257.38	317.91	190.97	552.96	232.96
1110038F14Rik	188.77	328.83	848.45	193.77	387.86	211.97	143.99	147.98
1110046J04Rik	1.35	4.71	4.87	0.98	22.99	8.00	3.00	9.00
1110051M20Rik	6.92	892.26	281.14	138.60	429.84	376.95	658.96	362.94
1110059E24Rik	331.54	1469.51	903.98	389.49	554.80	1358.82	822.93	837.86
1110059G10Rik	1.90	338.66	211.45	470.97	1319.84	1010.86	946.85	851.90
1110065P20Rik	30.21	68.30	1.54	1.38	32.30	91.85	52.23	27.21
1190007I07Rik	59.34	1.95	10.72	71.03	77.48	212.17	43.76	61.79
1300002E11Rik	61.43	1.97	3.74	1.31	646.96	795.60	722.59	594.90
1500002C15Rik	33.84	54.71	51.81	124.27	334.67	195.61	111.47	99.79
1500004A13Rik	341.49	16.69	162.59	69.98	500.28	570.42	394.19	330.37
1500011B03Rik	55.98	31.52	1.96	56.72	162.51	279.24	96.28	139.43
1500011K16Rik	42.16	72.68	42.86	302.74	19.99	2.00	15.00	14.00
1500015A07Rik	40.33	385.82	336.07	241.85	298.89	378.95	281.98	242.96
1600002H07Rik	155.43	7.81	845.39	529.31	663.30	706.85	299.08	191.95
1600010M07Rik	9.81	183.93	456.84	92.18	28.99	38.97	24.04	43.16
1600012H06Rik	0.96	18.95	557.19	1.12	156.78	105.41	95.97	65.25
1600014C10Rik	50.84	1.16	12.35	111.56	146.95	146.98	462.97	76.99
1600020E01Rik	19.63	152.50	275.88	17.10	52.50	111.40	54.98	47.41
1600029O15Rik	0.97	49.18	56.65	7.78	61.05	31.31	7.48	15.30
1700001L05Rik	16.88	8.10	1.09	512.44	858.69	505.93	432.97	237.96
1700003I16Rik	2.85	0.89	4.73	6.85	9.25	9.94	7.18	1.03
1700006J14Rik	14.04	16.59	23.97	250.95	13.99	191.80	43.25	257.29
1700007J10Rik	0.50	2.30	1.39	6.10	23.24	18.32	7.95	2.78
1700012D14Rik	21.21	4.55	66.27	5.01	97.08	41.29	21.17	7.23
1700015I17Rik	10.03	1.13	4.26	17.62	61.71	68.04	43.63	59.70
1700016K19Rik	78.57	8.16	6.56	114.47	31.99	1.00	45.00	53.99
1700017B05Rik	2.62	2006.82	1.04	51.21	1074.59	1027.83	768.93	749.87
1700018B24Rik	37.27	255.65	93.70	144.93	2710.01	2707.64	2077.86	1951.67
1700019D03Rik	0.66	661.59	348.84	635.08	1232.50	1681.12	1005.03	779.65
1700020I14Rik	5.07	975.79	385.44	841.99	198.28	194.00	89.65	109.77
1700021F05Rik	852.82	2051.17	2830.98	1586.18	12.09	76.99	185.99	90.98
1700024B05Rik	51.74	47.33	45.12	45.43	939.05	1003.83	824.23	447.84
1700025G04Rik	17.44	88.21	1.00	28.41	741.41	672.42	638.53	465.89
1700025N23Rik	1.20	2.54	0.80	14.20	23.07	42.02	22.80	6.90
1700028D13Rik	4.59	1.73	2.92	8.81	41.98	9.00	25.00	17.62
1700028J19Rik	64.32	2.99	349.25	0.93	5.34	35.06	30.87	104.21
1700028K03Rik	0.74	58.59	200.98	57.74	164.81	380.16	405.74	135.37
1700029E06Rik	1.77	2.68	8.08	7.52	181.45	117.91	120.12	96.74
1700029P11Rik	216.95	333.71	503.35	806.39	135.79	139.80	27.19	77.99
1700030C10Rik	31.62	21.84	114.01	18.61	8.00	37.00	33.14	30.99
1700030J22Rik	4.74	49.93	17.48	12.94	2607.05	2288.70	1170.92	791.87
1700030K09Rik	19.22	278.69	471.06	95.47	1784.23	1501.02	1591.79	1061.18
1700030M09Rik	0.59	2.94	15.15	2.95	16.92	5.01	5.37	2.01
1700030N03Rik	21.08	69.28	78.90	24.47	29.93	40.99	19.00	52.99
1700034H15Rik	7.45	7.94	69.23	9.72	11.13	14.31	9.06	5.12
1700034P13Rik	4.75	282.43	33.02	26.33	15.06	13.85	11.01	5.07
1700037C18Rik	2.69	52.21	12.30	12.35	217.01	160.17	128.14	90.03
1700037H04Rik	10.29	481.79	366.07	332.73	216.92	748.90	397.97	197.97
1700047G07Rik	0.63	1.28	7.32	1.73	90.89	46.62	43.67	49.32
1700047I17Rik2	18.57	69.27	186.65	1258.74	1521.91	1549.72	916.98	542.88
1700048O20Rik	3.86	2.51	2.25	8.88	352.94	496.81	267.39	347.68
1700051O22Rik	1.92	12.68	40.14	7.06	40.99	21.00	24.00	16.00
1700054O19Rik	9.78	32.50	80.76	61.31	73.00	155.28	73.49	78.67
1700063D05Rik	30.61	162.03	56.59	2.33	74.22	68.29	39.11	23.78
1700066M21Rik	3.57	569.57	2.92	546.75	1784.35	1719.77	1797.88	1164.81
1700071K01Rik	2.87	9.77	20.48	11.74	19.99	16.00	31.03	16.00
1700088E04Rik	11.73	0.98	1.34	15.52	69.11	231.78	78.90	24.63
1700095J07Rik	7.53	4.98	11.63	11.43	42.87	19.03	20.62	6.08
1700112J16Rik	3.93	1.44	11.84	2.48	12.30	9.38	7.64	15.55
1700113A16Rik	33.28	94.43	74.72	41.10	23.04	9.62	18.76	24.34
1700120C14Rik	152.93	51.85	187.62	32.25	85.49	193.68	27.24	21.23
1810009A15Rik	367.70	1138.43	2439.05	1187.28	481.05	580.04	313.19	122.08
1810013D15Rik	21.46	102.81	550.42	119.18	623.56	427.46	233.76	188.45
1810013L24Rik	454.20	1366.07	308.79	1106.83	6282.71	5985.20	4334.71	3659.39
1810014B01Rik	6.92	162.50	13.66	16.96	15.59	30.96	19.00	7.21
1810019D21Rik	311.27	699.75	20.46	7.83	133.06	129.04	108.39	23.57
1810022K09Rik	575.79	609.20	872.83	719.55	81.75	107.99	109.10	99.30
1810026B05Rik	1.92	3.90	2.92	276.14	31.99	48.69	6.30	22.00
1810030O07Rik	6.27	5.49	31.04	493.16	192.97	135.50	87.07	126.72
1810037I17Rik	7.67	288.83	379.90	679.17	2904.94	3252.57	3133.79	3376.44
1810043G02Rik	14.40	5.99	22.61	4.36	888.71	1711.82	1011.52	648.46
1810055G02Rik	0.35	933.54	809.49	69.03	441.84	382.95	239.98	106.98
1810058I24Rik	3.83	722.18	15.59	393.42	1117.34	1998.40	1349.33	1081.82
1810064F22Rik	1.10	13.37	14.74	5.55	49.33	14.24	22.50	9.75
2010001K21Rik	5.75	4.13	4.23	2.94	3144.82	2842.68	1673.16	821.10
2010107E04Rik	685.13	1207.02	1089.06	1406.28	355.87	132.98	361.98	209.97
2010107G23Rik	3.56	382.50	2.92	46.00	17145.74	14165.20	10697.27	7254.78
2010109I03Rik	11.14	8.48	33.45	10.92	18.48	14.30	7.17	16.59
2010110K18Rik	155.42	200.54	1.50	197.98	47.04	1.02	16.09	62.09
2010111I01Rik	98.70	19.52	26.30	15.66	910.89	595.56	444.93	374.28
2010300C02Rik	590.26	75.46	189.45	78.70	75.97	14.00	86.99	43.63
2010315B03Rik	18.26	4.28	14.10	7.13	13.69	14.51	6.19	13.52
2200002D01Rik	134.63	159.18	155.96	340.79	18.80	25.53	39.65	20.79
2210016F16Rik	80.49	14.01	454.91	17.62	189.59	181.88	70.03	36.73
2210408I21Rik	182.43	0.82	330.70	123.31	144.95	385.95	53.00	165.97
2210409E12Rik	815.94	1251.43	1421.10	2906.89	17.37	26.15	33.50	18.17
2210418O10Rik	55.35	166.20	142.04	77.41	622.02	998.46	520.09	500.25
2310009A05Rik	44.08	1.51	3.72	34.24	278.79	30.58	87.99	44.14
2310011J03Rik	1.92	78.06	423.74	1043.22	77.97	5.00	89.99	40.99
2310015K22Rik	187.81	1.95	0.97	0.98	18.02	112.07	16.02	53.99
2310022A10Rik	428.71	249.90	28.81	238.48	2180.35	2431.78	1622.88	1628.54
2310022B05Rik	56.08	5.09	2.75	126.46	14106.85	9154.78	9402.38	6914.85
2310033P09Rik	33.19	74.16	267.44	189.32	919.52	931.07	818.56	457.59
2310035C23Rik	365.20	359.46	482.31	767.37	850.81	1170.96	1355.96	1101.01
2310039L15Rik	18.88	308.12	318.21	103.47	12.34	17.73	15.01	9.22
2310043P16Rik	2.11	8.75	3.14	1.18	273.61	98.66	22.63	64.73
2310057M21Rik	280.08	6.31	1.16	555.17	386.31	362.97	416.60	451.31
2310058D17Rik	3.80	14.67	12.04	80.15	180.71	229.77	22.39	124.98
2310061I04Rik	142.77	11.15	21.43	0.98	3935.56	4852.35	4105.73	2590.57
2310068J16Rik	3.02	8.60	3.36	4.11	7.04	13.04	4.01	13.09
2410002F23Rik	299.92	1172.86	1934.59	608.51	52.98	29.00	4.00	63.99
2410004B18Rik	114.99	156.12	141.25	0.98	510.81	268.96	61.00	123.98
2410006H16Rik	521.27	1048.95	1301.42	564.67	235.91	106.99	174.99	78.99
2410015M20Rik	69.95	1994.46	1647.23	1163.59	3.00	80.99	182.99	117.98
2410018L13Rik	77.91	2.29	3.65	11.43	83.41	8.98	9.75	3.06
2410089E03Rik	78.57	836.22	77.99	154.65	6541.15	4822.35	4410.23	3130.94
2410131K14Rik	238.68	408.65	14.69	50.11	275.26	520.14	213.75	112.30
2410141K09Rik	152.13	89.33	332.88	914.07	570.65	1056.86	753.78	443.50
2500002B13Rik	2.36	24.22	81.29	0.11	3119.52	4021.91	2030.92	1518.58
2500004C02Rik	68.97	36.45	173.00	118.79	229.97	190.96	79.91	76.58
2510046G10Rik	95.01	210.89	179.17	21.55	24.99	64.19	123.46	69.13
2600014E21Rik	6.90	25.48	1.15	3.93	11.02	20.47	10.81	5.07
2610001J05Rik	0.96	632.30	882.55	2.94	2197.20	2038.73	1977.86	1463.75
2610002M06Rik	0.96	35.85	0.90	0.98	501.82	622.92	237.98	122.98
2610005L07Rik	107.82	8.52	229.03	135.96	367.30	84.57	53.38	19.57
2610021A01Rik	110.91	86.39	856.68	865.20	69.06	321.12	205.08	127.78
2610037D02Rik	3.86	8.88	14.96	8.81	279.89	104.60	145.35	141.42
2610044O15Rik8	201.17	190.12	263.09	811.58	120.92	248.22	95.36	45.64
2610507B11Rik	343.04	120.02	50.65	432.55	1845.33	939.87	870.94	811.86
2610524H06Rik	20.60	154.35	271.95	242.70	361.44	362.99	322.28	225.23
2610528J11Rik	66.12	1198.41	200.68	710.34	174.31	73.99	141.99	99.98
2700038G22Rik	259.63	15.35	429.17	306.32	48.56	7.50	27.37	15.60
2700049A03Rik	363.16	2.70	784.16	577.72	17494.62	20428.24	14854.01	9144.47
2700060E02Rik	3.56	100.95	75.10	191.23	555.31	913.48	1294.34	590.86
2700062C07Rik	912.21	635.43	1366.16	1989.96	1375.54	1367.51	1364.29	995.49
2700078F05Rik	26.10	157.28	365.33	9.83	5.27	45.56	25.11	21.96
2700097O09Rik	256.74	411.61	12.11	475.79	757.16	310.57	786.84	633.67
2700099C18Rik	4.26	5.50	228.31	51.97	437.33	261.04	265.81	301.03
2810004N23Rik	265.95	1039.33	2399.09	1417.77	973.75	728.11	725.70	586.80
2810013P06Rik	2.87	334.62	43.91	295.18	119.78	3.02	10.01	55.99
2810021J22Rik	7.09	186.40	77.93	3.34	53.97	35.75	40.00	30.99
