ProbeSet	log2(FC)	p-value
1053_at  	 -0.1469	2.51e-01
1405_i_at	  0.3371	1.35e-01
1438_at  	  0.2177	1.74e-01
1494_f_at	  0.4601	6.41e-02
1598_g_at	  0.3872	5.48e-02
160020_at	  0.2492	8.08e-02
1729_at  	  0.3047	3.40e-03
1773_at  	  0.2270	8.85e-02
177_at   	  0.1501	5.53e-02
179_at   	  0.3199	8.91e-02
1861_at  	  0.2181	1.19e-01
200000_s_at	  0.0181	8.57e-01
200002_at	 -0.0301	7.65e-01
200005_at	 -0.2584	1.47e-01
200007_at	  0.0120	9.31e-01
200009_at	  0.1362	2.32e-01
200010_at	  0.1279	2.86e-01
200011_s_at	 -0.5820	3.56e-02
200014_s_at	 -0.1558	5.58e-01
200015_s_at	 -0.0862	6.97e-01
200016_x_at	  0.0461	2.86e-01
200018_at	  0.0396	6.85e-01
200021_at	 -0.4356	1.79e-03
200022_at	  0.0964	3.65e-01
200024_at	  0.0341	6.25e-01
200025_s_at	 -0.1475	2.35e-01
200027_at	 -0.5193	1.61e-01
200029_at	 -0.0015	9.49e-01
200030_s_at	  0.1371	1.47e-01
200031_s_at	 -0.0161	8.23e-01
200033_at	 -1.1606	1.68e-02
200040_at	  0.1460	2.65e-01
200045_at	 -0.4978	2.48e-03
200046_at	 -0.1633	4.23e-01
200047_s_at	 -0.3686	2.83e-01
200049_at	 -0.0647	5.05e-01
200052_s_at	 -0.9184	3.49e-02
200058_s_at	 -0.0094	9.62e-01
200065_s_at	 -0.0960	4.18e-01
200066_at	  0.0764	6.48e-01
200067_x_at	  0.5432	3.72e-03
200069_at	 -0.4101	2.01e-01
200070_at	  0.2859	3.15e-01
200073_s_at	 -0.9822	8.45e-03
200075_s_at	  1.3639	1.09e-02
200076_s_at	 -0.1281	9.09e-02
200080_s_at	  0.0270	9.30e-01
200082_s_at	 -0.1630	6.90e-02
200084_at	 -0.1559	3.32e-01
200087_s_at	 -0.9841	1.76e-02
200088_x_at	  0.0798	2.07e-01
200089_s_at	 -0.1614	1.60e-01
200092_s_at	  0.0737	5.56e-01
200095_x_at	 -0.2386	2.77e-02
200097_s_at	 -0.5635	6.60e-02
200099_s_at	  0.0575	4.96e-01
200598_s_at	 -1.4329	1.07e-02
200599_s_at	 -1.6212	3.49e-03
200600_at	 -1.1419	1.15e-02
200601_at	 -0.9378	1.40e-04
200603_at	 -0.4006	3.36e-01
200604_s_at	 -0.0393	8.76e-01
200605_s_at	 -0.2259	3.55e-01
200606_at	  0.2725	7.87e-02
200609_s_at	 -0.3403	1.83e-01
200611_s_at	 -0.5593	1.44e-03
200612_s_at	  0.4957	1.16e-01
200613_at	  0.4163	1.04e-03
200618_at	  0.0385	8.21e-01
200620_at	  0.3448	1.46e-01
200622_x_at	 -0.1003	3.96e-01
200624_s_at	 -0.0362	8.72e-01
200627_at	 -0.5528	6.81e-02
200628_s_at	 -1.8159	5.60e-04
200629_at	 -2.2016	1.05e-04
200633_at	 -0.0593	2.08e-01
200636_s_at	  0.3376	6.34e-03
200638_s_at	 -0.3323	3.21e-01
200639_s_at	 -0.4818	2.48e-02
200640_at	 -0.4581	3.59e-02
200642_at	  0.0214	8.37e-01
200643_at	  0.0185	8.01e-01
200645_at	  0.6888	7.06e-04
200646_s_at	 -0.2592	1.23e-01
200647_x_at	 -0.3562	1.12e-03
